label character JISx0208 UTF8 Cangjie
158 族 0x4232 u'\u65cf' ysook
159 太 0x4240 u'\u592a' ki
160 代 0x4265 u'\u4ee3' oip
161 団 0x4344 u'\u56e3' wdi
162 茶 0x4363 u'\u8336' tod
163 丁 0x437A u'\u4e01' mn
164 賃 0x4442 u'\u8cc3' ogbuc
165 程 0x4478 u'\u7a0b' hdrmg
166 点 0x4540 u'\u70b9' xyrf
167 党 0x455E u'\u515a' fbrhu
168 答 0x457A u'\u7b54' homr
169 道 0x463B u'\u9053' ythu
170 南 0x466E u'\u5357' jbtj
171 年 0x472F u'\u5e74' oq
172 拝 0x4752 u'\u62dd' qmqj
173 八 0x482C u'\u516b' ho
174 否 0x485D u'\u5426' mfr
175 鼻 0x4921 u'\u9f3b' huwml
176 病 0x4942 u'\u75c5' kmob
177 府 0x495C u'\u5e9c' iodi
178 複 0x4A23 u'\u8907' loae
179 陛 0x4A45 u'\u965b' nlppg
180 保 0x4A5D u'\u4fdd' ord
181 豊 0x4B2D u'\u8c4a' twmrt
182 末 0x4B76 u'\u672b' dj
183 命 0x4C3F u'\u547d' omrl
184 問 0x4C64 u'\u554f' anr
185 勇 0x4D26 u'\u52c7' nbks
186 曜 0x4D4B u'\u66dc' asmg
187 来 0x4D68 u'\u6765' dt
188 流 0x4E2E u'\u6d41' eyiu
189 林 0x4E53 u'\u6797' dd
190 練 0x4E7D u'\u7df4' vfdwf
191 ご 0x2434 u'\u3054' zc
192 さ 0x2435 u'\u3055' zc
193 ざ 0x2436 u'\u3056' zc
194 し 0x2437 u'\u3057' zc
195 じ 0x2438 u'\u3058' zc
196 す 0x2439 u'\u3059' zc
197 ず 0x243A u'\u305a' zc
198 圧 0x3035 u'\u5727' xmg
199 易 0x3057 u'\u6613' aphh
200 員 0x3077 u'\u54e1' rbuc
201 栄 0x3149 u'\u6804' fbd
202 延 0x3164 u'\u5ef6' nkhyv
203 億 0x322F u'\u5104' oytp
204 加 0x3243 u'\u52a0' ksr
205 荷 0x3259 u'\u8377' tomr
206 回 0x3273 u'\u56de' wr
207 外 0x3330 u'\u5916' niy
208 楽 0x335A u'\u697d' xiod
209 感 0x3436 u'\u611f' irp
210 眼 0x3463 u'\u773c' buav
211 期 0x347C u'\u671f' tcb
212 起 0x352F u'\u8d77' gosu
213 急 0x355E u'\u6025' nsp
214 居 0x356F u'\u5c45' sjr
215 境 0x362D u'\u5883' gytu
216 玉 0x364C u'\u7389' mgi
217 苦 0x366C u'\u82e6' tjr
218 型 0x373F u'\u578b' mng
219 決 0x3768 u'\u6c7a' edk
220 憲 0x377B u'\u61b2' jqmp
221 元 0x3835 u'\u5143' mmu
222 己 0x384A u'\u5df1' su
223 護 0x386E u'\u8b77' yrtoe
224 后 0x3921 u'\u540e' hmr
225 耕 0x394C u'\u8015' qdtt
226 国 0x3971 u'\u56fd' wmgi
227 最 0x3A47 u'\u6700' asje
228 在 0x3A5F u'\u5728' klg
229 殺 0x3B26 u'\u6bba' kdhne
230 酸 0x3B40 u'\u9178' mwice
231 子 0x3B52 u'\u5b50' nd
232 私 0x3B64 u'\u79c1' hdi
233 事 0x3B76 u'\u4e8b' jlln
234 耳 0x3C2A u'\u8033' sj
235 舎 0x3C4B u'\u820e' xxogr
236 取 0x3C68 u'\u53d6' sje
237 周 0x3C7E u'\u5468' bgr
238 週 0x3D35 u'\u9031' ybgr
239 述 0x3D52 u'\u8ff0' yijc
240 諸 0x3D74 u'\u8af8' yrjka
241 承 0x3E35 u'\u627f' nnqo
242 象 0x3E5D u'\u8c61' napo
243 織 0x3F25 u'\u7e54' vfyia
244 真 0x3F3F u'\u771f' jbmc
245 水 0x3F65 u'\u6c34' e
246 星 0x4031 u'\u661f' ahqm
247 誠 0x403F u'\u8aa0' yrihs
248 切 0x405A u'\u5207' psh
249 千 0x4069 u'\u5343' hj
250 前 0x4130 u'\u524d' tbln
251 早 0x4161 u'\u65e9' aj
252 造 0x4224 u'\u9020' yhgr
253 続 0x4233 u'\u7d9a' vfgbu
254 打 0x4247 u'\u6253' qmn
255 台 0x4266 u'\u53f0' ir
256 断 0x4347 u'\u65ad' vdhml
257 着 0x4365 u'\u7740' tqbu
258 帳 0x4422 u'\u5e33' lbsmv
259 追 0x4449 u'\u8ffd' yhrr
260 敵 0x4528 u'\u6575' ybok
261 伝 0x4541 u'\u4f1d' xommi
262 冬 0x455F u'\u51ac' hey
263 統 0x457D u'\u7d71' vfyiu
264 銅 0x463C u'\u9285' cbmr
265 難 0x4671 u'\u96e3' toog
266 念 0x4730 u'\u5ff5' oinp
267 敗 0x4754 u'\u6557' bcok
268 発 0x482F u'\u767a' nomkp
269 悲 0x4861 u'\u60b2' lyp
270 必 0x492C u'\u5fc5' ph
271 秒 0x4943 u'\u79d2' hdfh
272 父 0x4963 u'\u7236' ck
273 仏 0x4A29 u'\u4ecf' xoi
274 米 0x4A46 u'\u7c73' fd
275 歩 0x4A62 u'\u6b69' xylmh
276 暴 0x4B3D u'\u66b4' atce
277 万 0x4B7C u'\u4e07' ms
278 明 0x4C40 u'\u660e' ab
279 門 0x4C67 u'\u9580' an
280 友 0x4D27 u'\u53cb' ke
281 様 0x4D4D u'\u69d8' xdtge
282 落 0x4D6E u'\u843d' tehr
283 留 0x4E31 u'\u7559' hhw
284 臨 0x4E57 u'\u81e8' slorr
285 連 0x4F22 u'\u9023' yjwj
286 せ 0x243B u'\u305b' zc
287 ぜ 0x243C u'\u305c' zc
288 そ 0x243D u'\u305d' zc
289 ぞ 0x243E u'\u305e' zc
290 た 0x243F u'\u305f' zc
291 だ 0x2440 u'\u3060' zc
292 ち 0x2441 u'\u3061' zc
293 安 0x3042 u'\u5b89' jv
294 異 0x305B u'\u7570' wtc
295 因 0x3078 u'\u56e0' wk
296 永 0x314A u'\u6c38' ine
297 演 0x3169 u'\u6f14' ejmc
298 屋 0x3230 u'\u5c4b' smig
299 可 0x3244 u'\u53ef' mnr
300 課 0x325D u'\u8ab2' yrwd
301 快 0x3277 u'\u5feb' pdk
302 害 0x3332 u'\u5bb3' jqmr
303 額 0x335B u'\u984d' jrmbc
304 慣 0x3437 u'\u6163' pwjc
305 岩 0x3464 u'\u5ca9' umr
306 機 0x3521 u'\u6a5f' dvii
307 技 0x353B u'\u6280' qje
308 救 0x355F u'\u6551' ieok
309 挙 0x3573 u'\u6319' xfcq
310 強 0x362F u'\u5f37' nili
311 勤 0x3650 u'\u52e4' tmks
312 具 0x3671 u'\u5177' bmmc
313 形 0x3741 u'\u5f62' mthhh
314 潔 0x3769 u'\u6f54' eqhf
315 検 0x3821 u'\u691c' xdomo
316 原 0x3836 u'\u539f' mhaf
317 庫 0x384B u'\u5eab' ijwj
318 交 0x3872 u'\u4ea4' yck
319 孝 0x3927 u'\u5b5d' jknd
320 考 0x394D u'\u8003' jkys
321 穀 0x3972 u'\u7a40' gdhne
322 妻 0x3A4A u'\u59bb' jlv
323 材 0x3A60 u'\u6750' ddh
324 雑 0x3B28 u'\u96d1' kdog
325 残 0x3B44 u'\u6b8b' mnij
326 市 0x3B54 u'\u5e02' ylb
327 糸 0x3B65 u'\u7cf8' vif
328 似 0x3B77 u'\u4f3c' ovio
329 自 0x3C2B u'\u81ea' hbu
330 写 0x3C4C u'\u5199' bysm
331 守 0x3C69 u'\u5b88' jdi
332 宗 0x3D21 u'\u5b97' jmmf
333 集 0x3D38 u'\u96c6' ogd
334 春 0x3D55 u'\u6625' qka
335 助 0x3D75 u'\u52a9' bmks
336 招 0x3E37 u'\u62db' qshr
337 賞 0x3E5E u'\u8cde' fbrbc
338 職 0x3F26 u'\u8077' sjyia
339 神 0x3F40 u'\u795e' iflwl
340 数 0x3F74 u'\u6570' fvok
341 晴 0x4032 u'\u6674' aqmb
342 青 0x4044 u'\u9752' qmb
343 接 0x405C u'\u63a5' qytv
344 宣 0x406B u'\u5ba3' jmam
345 善 0x4131 u'\u5584' ttr
346 争 0x4168 u'\u4e89' nsd
347 側 0x4226 u'\u5074' obcn
348 卒 0x4234 u'\u5352' yooj
349 体 0x424E u'\u4f53' odm
350 大 0x4267 u'\u5927' k
351 男 0x434B u'\u7537' wks
352 中 0x4366 u'\u4e2d' l
353 張 0x4425 u'\u5f35' nsmv
354 通 0x444C u'\u901a' ynib
355 的 0x452A u'\u7684' x
356 田 0x4544 u'\u7530' w
357 刀 0x4561 u'\u5200' sh
358 討 0x4624 u'\u8a0e' yrdi
359 得 0x4640 u'\u5f97' hoami
360 二 0x4673 u'\u4e8c' mm
361 燃 0x4733 u'\u71c3' fbkf
362 配 0x475B u'\u914d' mwsu
363 判 0x483D u'\u5224' fqln
364 比 0x4866 u'\u6bd4' pp
365 筆 0x492E u'\u7b46' hlq
366 品 0x494A u'\u54c1' rrr
367 負 0x4969 u'\u8ca0' nbuc
368 物 0x4A2A u'\u7269' hqphh
369 別 0x4A4C u'\u5225' rsln
370 補 0x4A64 u'\u88dc' lijb
371 望 0x4B3E u'\u671b' ybmg
372 満 0x4B7E u'\u6e80' xetub
373 盟 0x4C41 u'\u76df' abbt
374 夜 0x4C6B u'\u591c' yonk
375 有 0x4D2D u'\u6709' kb
376 洋 0x4D4E u'\u6d0b' etq
377 利 0x4D78 u'\u5229' hdln
378 旅 0x4E39 u'\u65c5' ysohv
379 輪 0x4E58 u'\u8f2a' jjomb
380 路 0x4F29 u'\u8def' rmher
381 ぢ 0x2442 u'\u3062' zc
382 つ 0x2444 u'\u3064' zc
383 づ 0x2445 u'\u3065' zc
384 て 0x2446 u'\u3066' zc
385 で 0x2447 u'\u3067' zc
386 と 0x2448 u'\u3068' zc
387 ど 0x2449 u'\u3069' zc
388 暗 0x3045 u'\u6697' ayta
389 移 0x305C u'\u79fb' hdnin
390 引 0x307A u'\u5f15' nl
391 泳 0x314B u'\u6cf3' eine
392 遠 0x3173 u'\u9060' ygrv
393 恩 0x3238 u'\u6069' wkp
394 夏 0x3246 u'\u590f' muhe
395 貨 0x325F u'\u8ca8' opbuc
396 改 0x327E u'\u6539' svok
397 各 0x3346 u'\u5404' her
398 活 0x3368 u'\u6d3b' ehjr
399 歓 0x343F u'\u6b53' ogno
400 顔 0x3469 u'\u9854' xxxyh
401 帰 0x3522 u'\u5e30' llsmb
402 疑 0x353F u'\u7591' pknio
403 求 0x3561 u'\u6c42' ije
404 許 0x3576 u'\u8a31' yroj
405 教 0x3635 u'\u6559' jdok
406 均 0x3651 u'\u5747' gpmm
407 空 0x3675 u'\u7a7a' jcm
408 敬 0x3749 u'\u656c' trok
409 結 0x376B u'\u7d50' vfgr
410 権 0x3822 u'\u6a29' dokg
411 厳 0x3837 u'\u53b3' fmnjk
412 戸 0x384D u'\u6238' xms
413 候 0x3875 u'\u5019' olnk
414 工 0x3929 u'\u5de5' mlm
415 航 0x3952 u'\u822a' hyyhn
416 黒 0x3975 u'\u9ed2' xwgf
417 才 0x3A4D u'\u624d' dh
418 罪 0x3A61 u'\u7f6a' wllmy
419 三 0x3B30 u'\u4e09' mmm
420 仕 0x3B45 u'\u4ed5' og
421 師 0x3B55 u'\u5e2b' hrmlb
422 紙 0x3B66 u'\u7d19' vfhvp
423 児 0x3B79 u'\u5150' lahu
424 辞 0x3C2D u'\u8f9e' hrytj
425 社 0x3C52 u'\u793e' ifg
426 手 0x3C6A u'\u624b' q
427 就 0x3D22 u'\u5c31' yfiku
428 住 0x3D3B u'\u4f4f' oyg
429 準 0x3D60 u'\u6e96' egj
430 女 0x3D77 u'\u5973' v
431 昭 0x3E3C u'\u662d' ashr
432 上 0x3E65 u'\u4e0a' ym
433 色 0x3F27 u'\u8272' nau
434 臣 0x3F43 u'\u81e3' slsl
435 世 0x4024 u'\u4e16' pt
436 正 0x4035 u'\u6b63' mylm
437 静 0x4045 u'\u9759' qbnsd
438 折 0x405E u'\u6298' qhml
439 専 0x406C u'\u5c02' jwdi
440 然 0x4133 u'\u7136' bkf
441 相 0x416A u'\u76f8' dbu
442 則 0x4227 u'\u5247' bcln
443 存 0x4238 u'\u5b58' klnd
444 対 0x4250 u'\u5bfe' ykdi
445 第 0x4268 u'\u7b2c' hnlh
446 談 0x434C u'\u8ac7' yrff
447 忠 0x4369 u'\u5fe0' lp
448 朝 0x442B u'\u671d' jjb
449 低 0x4463 u'\u4f4e' ohvi
450 適 0x452C u'\u9069' yycb
451 電 0x4545 u'\u96fb' mbwu
452 島 0x4567 u'\u5cf6' hayu
453 頭 0x462C u'\u982d' mtmbc
454 徳 0x4641 u'\u5fb3' xhojw
455 弐 0x4675 u'\u5f10' mpmm
456 納 0x473C u'\u7d0d' vfob
457 倍 0x475C u'\u500d' oytr
458 半 0x483E u'\u534a' fq
459 皮 0x4869 u'\u76ae' dhe
460 百 0x4934 u'\u767e' ma
461 貧 0x494F u'\u8ca7' cshc
462 武 0x4970 u'\u6b66' mpylm
463 分 0x4A2C u'\u5206' csh
464 変 0x4A51 u'\u5909' yche
465 墓 0x4A68 u'\u5893' takg
466 貿 0x4B47 u'\u8cbf' hhbuc
467 味 0x4C23 u'\u5473' rjd
468 迷 0x4C42 u'\u8ff7' yfd
469 野 0x4C6E u'\u91ce' wgnin
470 由 0x4D33 u'\u7531' lw
471 用 0x4D51 u'\u7528' bq
472 理 0x4D7D u'\u7406' mgwg
473 両 0x4E3E u'\u4e21' mub
474 類 0x4E60 u'\u985e' fkmbc
475 労 0x4F2B u'\u52b4' fbks
476 な 0x244A u'\u306a' zc
477 に 0x244B u'\u306b' zc
478 ぬ 0x244C u'\u306c' zc
479 ね 0x244D u'\u306d' zc
480 の 0x244E u'\u306e' zc
481 は 0x244F u'\u306f' zc
482 ば 0x2450 u'\u3070' zc
483 案 0x3046 u'\u6848' jvd
484 胃 0x305F u'\u80c3' wb
485 飲 0x307B u'\u98f2' oino
486 英 0x3151 u'\u82f1' tlbk
487 塩 0x3176 u'\u5869' gort
488 温 0x3239 u'\u6e29' eabt
489 家 0x3248 u'\u5bb6' jmso
490 過 0x3261 u'\u904e' ybbr
491 械 0x3323 u'\u68b0' dit
492 拡 0x3348 u'\u62e1' qii
493 株 0x3374 u'\u682a' dhjd
494 漢 0x3441 u'\u6f22' etlo
495 願 0x346A u'\u9858' mfmbc
496 気 0x3524 u'\u6c17' onk
497 義 0x3541 u'\u7fa9' tghqi
498 球 0x3565 u'\u7403' mgije
499 漁 0x3579 u'\u6f01' enwf
500 橋 0x3636 u'\u6a4b' dhkb
501 禁 0x3658 u'\u7981' ddmmf
502 君 0x372F u'\u541b' skr
503 景 0x374A u'\u666f' ayrf
504 血 0x376C u'\u8840' hbt
505 犬 0x3824 u'\u72ac' ik
506 減 0x383A u'\u6e1b' eihr
507 故 0x384E u'\u6545' jrok
508 光 0x3877 u'\u5149' fmu
509 幸 0x392C u'\u5e78' gtj
510 行 0x3954 u'\u884c' hommn
511 今 0x3A23 u'\u4eca' oin
512 採 0x3A4E u'\u63a1' qbd
513 財 0x3A62 u'\u8ca1' bcdh
514 参 0x3B32 u'\u53c2' ikhhh
515 使 0x3B48 u'\u4f7f' ojlk
516 志 0x3B56 u'\u5fd7' gp
517 至 0x3B6A u'\u81f3' mig
518 字 0x3B7A u'\u5b57' jnd
519 式 0x3C30 u'\u5f0f' ipm
520 者 0x3C54 u'\u8005' jka
521 種 0x3C6F u'\u7a2e' hdhjg
522 州 0x3D23 u'\u5dde' ilil
523 十 0x3D3D u'\u5341' j
524 純 0x3D63 u'\u7d14' vfpu
525 序 0x3D78 u'\u5e8f' inin
526 消 0x3E43 u'\u6d88' efb
527 乗 0x3E68 u'\u4e57' hdt
528 食 0x3F29 u'\u98df' oiav
529 親 0x3F46 u'\u89aa' ydbuu
530 是 0x4027 u'\u662f' amyo
531 清 0x4036 u'\u6e05' eqmb
532 税 0x4047 u'\u7a0e' xhdcr
533 設 0x405F u'\u8a2d' yrhne
534 川 0x406E u'\u5ddd' lll
535 全 0x4134 u'\u5168' omg
536 総 0x416D u'\u7dcf' vfcip
537 息 0x4229 u'\u606f' hup
538 孫 0x4239 u'\u5b6b' ndhvf
539 帯 0x4253 u'\u5e2f' xtjbl
540 題 0x426A u'\u984c' aombc
541 知 0x434E u'\u77e5' okr
542 昼 0x436B u'\u663c' soam
543 町 0x442E u'\u753a' wmn
544 停 0x4464 u'\u505c' oyrn
545 鉄 0x4534 u'\u9244' chqo
546 徒 0x454C u'\u5f92' hogyo
547 投 0x456A u'\u6295' qhne
548 働 0x462F u'\u50cd' ohgs
549 特 0x4643 u'\u7279' hqgdi
550 肉 0x4679 u'\u8089' obo
551 能 0x473D u'\u80fd' ibpp
552 買 0x4763 u'\u8cb7' wlbuc
553 反 0x483F u'\u53cd' he
554 肥 0x486E u'\u80a5' bau
555 俵 0x4936 u'\u4ff5' oqmv
556 不 0x4954 u'\u4e0d' mf
557 部 0x4974 u'\u90e8' yrnl
558 奮 0x4A33 u'\u596e' kogw
559 編 0x4A54 u'\u7de8' vfisb
560 母 0x4A6C u'\u6bcd' wyi
561 防 0x4B49 u'\u9632' nlyhs
562 未 0x4C24 u'\u672a' jd
563 鳴 0x4C44 u'\u9cf4' rhaf
564 役 0x4C72 u'\u5f79' hohne
565 遊 0x4D37 u'\u904a' yysd
566 葉 0x4D55 u'\u8449' tptd
567 里 0x4E24 u'\u91cc' wg
568 料 0x4E41 u'\u6599' fdyj
569 令 0x4E61 u'\u4ee4' oini
570 老 0x4F37 u'\u8001' jkp
571 ぱ 0x2451 u'\u3071' zc
572 ひ 0x2452 u'\u3072' zc
573 び 0x2453 u'\u3073' zc
574 ぴ 0x2454 u'\u3074' zc
575 ふ 0x2455 u'\u3075' zc
576 ぶ 0x2456 u'\u3076' zc
577 ぷ 0x2457 u'\u3077' zc
578 以 0x304A u'\u4ee5' vio
579 遺 0x3064 u'\u907a' ylmc
580 院 0x3121 u'\u9662' nljmu
581 衛 0x3152 u'\u885b' hodqn
582 央 0x317B u'\u592e' lbk
583 音 0x323B u'\u97f3' yta
584 科 0x324A u'\u79d1' hdyj
585 我 0x3266 u'\u6211' z
586 海 0x3324 u'\u6d77' eowy
587 格 0x334A u'\u683c' dher
588 寒 0x3428 u'\u5bd2' jtcy
589 管 0x3449 u'\u7ba1' hjrr
590 喜 0x346E u'\u559c' grtr
591 汽 0x3525 u'\u6c7d' eomn
592 議 0x3544 u'\u8b70' yrtgi
593 究 0x3566 u'\u7a76' jckn
594 魚 0x357B u'\u9b5a' nwf
595 興 0x363D u'\u8208' hxbc
596 近 0x3661 u'\u8fd1' yhml
597 訓 0x3731 u'\u8a13' yrlll
598 系 0x374F u'\u7cfb' hvif
599 月 0x376E u'\u6708' b
600 研 0x3826 u'\u7814' mrmt
601 現 0x383D u'\u73fe' mgbuu
602 湖 0x3850 u'\u6e56' ejrb
603 公 0x3878 u'\u516c' ci
604 広 0x392D u'\u5e83' xii
605 講 0x3956 u'\u8b1b' yrttb
606 根 0x3A2C u'\u6839' dav
607 済 0x3A51 u'\u6e08' xeykl
608 坂 0x3A64 u'\u5742' ghe
609 山 0x3B33 u'\u5c71' u
610 司 0x3B4A u'\u53f8' smr
611 思 0x3B57 u'\u601d' wp
612 視 0x3B6B u'\u8996' ifbuu
613 寺 0x3B7B u'\u5bfa' gdi
614 識 0x3C31 u'\u8b58' yryia
615 謝 0x3C55 u'\u8b1d' yrhhi
616 酒 0x3C72 u'\u9152' emcw
617 修 0x3D24 u'\u4fee' oloh
618 従 0x3D3E u'\u5f93' hotyo
619 順 0x3D67 u'\u9806' lllc
620 除 0x3D7C u'\u9664' nlomd
621 焼 0x3E46 u'\u713c' fjtu
622 場 0x3E6C u'\u5834' gamh
623 信 0x3F2E u'\u4fe1' oymr
624 身 0x3F48 u'\u8eab' hxh
625 制 0x4029 u'\u5236' hbln
626 生 0x4038 u'\u751f' hqm
627 席 0x404A u'\u5e2d' itlb
628 節 0x4061 u'\u7bc0' hail
629 戦 0x406F u'\u6226' fji
630 祖 0x4144 u'\u7956' ifbm
631 草 0x4170 u'\u8349' taj
632 測 0x422C u'\u6e2c' ebcn
633 尊 0x423A u'\u5c0a' twdi
634 待 0x4254 u'\u5f85' hogdi
635 達 0x4323 u'\u9054' ygtq
636 地 0x434F u'\u5730' gpd
637 柱 0x436C u'\u67f1' dyg
638 腸 0x4432 u'\u8178' bamh
639 定 0x446A u'\u5b9a' jmyo
640 典 0x4535 u'\u5178' tbc
641 登 0x4550 u'\u767b' nomrt
642 東 0x456C u'\u6771' dw
643 動 0x4630 u'\u52d5' hgks
644 毒 0x4647 u'\u6bd2' qmwyi
645 日 0x467C u'\u65e5' a
646 農 0x4740 u'\u8fb2' twmmv
647 売 0x4764 u'\u58f2' xgbhu
648 板 0x4844 u'\u677f' xdhe
649 費 0x4871 u'\u8cbb' lnbuc
650 標 0x4938 u'\u6a19' dmwf
651 付 0x4955 u'\u4ed8' odi
652 風 0x4977 u'\u98a8' hnmli
653 粉 0x4A34 u'\u7c89' fdcsh
654 辺 0x4A55 u'\u8fba' ysh
655 包 0x4A71 u'\u5305' pru
656 北 0x4B4C u'\u5317' lmp
657 脈 0x4C2E u'\u8108' bhhv
